date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-07-11,2360,致茂,429.5,2187992.0,9.4,408.25,369.66,355.7,surge,2025-06-26,11,0.841,A,182643028150
2025-07-16,2360,致茂,431.0,2559714.0,11.03,413.3,375.17,359.2,surge,2025-06-26,14,0.846,A,183280896700
2025-07-17,2360,致茂,432.0,2976311.0,12.86,415.08,377.03,360.41,surge,2025-06-26,15,0.848,A,183706142400
2025-07-18,2360,致茂,434.5,1970740.0,8.56,416.93,378.92,361.63,surge,2025-06-26,16,0.845,A,184769256650
2025-07-21,2059,川湖,2500.0,1499760.0,37.49,2295.73,2107.66,1937.99,surge,2025-07-18,1,0.838,A,238242750000
2025-07-22,2059,川湖,2495.0,1553406.0,38.76,2314.71,2120.36,1947.19,surge,2025-07-18,2,0.839,A,237766264500
2025-07-23,2059,川湖,2500.0,933216.0,23.33,2332.36,2132.81,1956.33,surge,2025-07-18,3,0.836,A,238242750000
2025-07-24,2059,川湖,2520.0,844606.0,21.28,2350.23,2145.5,1965.65,surge,2025-07-18,4,0.829,A,240148692000
2025-07-25,1303,南亞,33.65,90909520.0,30.59,31.21,30.47,31.76,surge,2025-07-23,2,0.837,B,266872146840
2025-07-25,2059,川湖,2565.0,547124.0,14.03,2370.68,2159.26,1975.55,surge,2025-07-18,5,0.815,A,244437061500
2025-07-28,1303,南亞,37.0,158707489.0,58.72,31.76,30.68,31.85,surge,2025-07-28,0,0.78,B,293440399200
2025-07-28,2059,川湖,2605.0,720284.0,18.76,2393.0,2173.87,1985.96,surge,2025-07-18,6,0.804,A,248248945500
2025-07-29,1303,南亞,35.85,159112569.0,57.04,32.15,30.85,31.91,surge,2025-07-28,1,0.807,B,284319954360
2025-07-29,2059,川湖,2595.0,717783.0,18.63,2412.24,2187.68,1996.02,surge,2025-07-18,7,0.809,A,247295974500
2025-07-30,1303,南亞,38.7,256889168.0,99.42,32.77,31.11,32.02,surge,2025-07-30,0,0.768,B,306922795920
2025-07-30,2059,川湖,2605.0,444556.0,11.58,2430.59,2201.36,2006.09,surge,2025-07-18,8,0.808,A,248248945500
2025-07-31,1303,南亞,40.95,200542382.0,82.12,33.55,31.43,32.17,surge,2025-07-30,1,0.728,B,324767144520
2025-07-31,2059,川湖,2665.0,610392.0,16.27,2452.92,2216.56,2016.98,surge,2025-07-18,9,0.793,A,253966771500
2025-08-01,2308,台達電,588.0,25566551.0,150.33,524.07,463.69,430.69,gap,2025-07-31,1,0.842,A,1527355460400
2025-08-01,1303,南亞,39.8,147581228.0,58.74,34.15,31.71,32.3,surge,2025-07-30,2,0.75,B,315646699680
2025-08-01,2059,川湖,2640.0,604274.0,15.95,2470.74,2230.45,2027.28,surge,2025-07-18,10,0.805,A,251584344000
2025-08-04,2308,台達電,593.0,11421939.0,67.73,530.63,467.93,433.37,gap,2025-07-31,2,0.839,A,1540343176900
2025-08-04,1303,南亞,37.65,99039973.0,37.29,34.48,31.9,32.39,surge,2025-07-30,3,0.794,B,298595433240
2025-08-04,2059,川湖,2600.0,342004.0,8.89,2483.05,2242.56,2036.75,surge,2025-07-18,11,0.821,A,247772460000
