date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap,exit_10pct_date,max_return_20d,ema20_cross_date,first_r_date
2024-03-28,4938,和碩,99.7,29098742.0,29.01,94.46,88.64,84.87,surge,2024-03-19,7,0.873,A,267411860470,,2.31,2024-03-11,False
2024-03-28,2317,鴻海,155.5,200955134.0,312.49,131.32,116.46,110.66,gap,2024-03-15,9,0.706,A,2177529197600,,2.25,2024-03-08,False
2024-03-29,2382,廣達,293.5,135928954.0,398.95,257.35,243.32,228.81,surge,2024-03-28,1,0.851,A,1133681141900,2024-04-15,1.53,2024-03-14,False
2024-03-29,4938,和碩,102.0,36994373.0,37.73,95.18,89.08,85.15,surge,2024-03-19,8,0.854,A,273580840200,,-0.49,2024-03-11,False
2024-03-29,2317,鴻海,150.0,154117085.0,231.18,133.1,117.56,111.31,gap,2024-03-15,10,0.736,A,2100510480000,,6.0,2024-03-08,False
2024-03-29,2834,臺企銀,16.15,38454121.0,6.21,15.35,14.45,14.04,gap,2024-03-14,11,0.893,A,156946698070,,4.95,2024-02-23,False
2024-04-01,2382,廣達,282.5,66759245.0,188.59,259.74,244.6,229.69,surge,2024-03-28,2,0.886,A,1091192240500,2024-04-16,5.49,2024-03-14,False
2024-04-01,1503,士電,307.0,5210104.0,16.0,247.54,188.26,158.12,surge,2024-03-26,4,0.692,A,159938465400,,12.21,2024-02-15,False
2024-04-01,4938,和碩,97.5,17302847.0,16.87,95.4,89.36,85.35,surge,2024-03-19,9,0.896,A,261511097250,,4.1,2024-03-11,False
2024-04-01,2317,鴻海,150.5,78537153.0,118.2,134.76,118.64,111.96,gap,2024-03-15,11,0.74,A,2107512181600,,5.65,2024-03-08,False
2024-04-02,1519,華城,792.0,706480.0,5.6,669.09,540.44,439.18,surge,2024-04-02,0,0.813,A,250177593600,,20.58,2024-03-08,False
2024-04-02,2382,廣達,298.0,87462983.0,260.64,263.39,246.35,230.82,surge,2024-03-28,3,0.843,A,1151062965200,2024-04-15,-1.51,2024-03-14,False
2024-04-02,1503,士電,308.0,4166337.0,12.83,253.29,192.19,160.6,surge,2024-03-26,5,0.696,A,160459437600,,11.85,2024-02-15,False
2024-04-02,4938,和碩,98.3,10447112.0,10.27,95.68,89.65,85.57,surge,2024-03-19,10,0.89,A,263656829330,,3.26,2024-03-11,False
2024-04-02,2317,鴻海,159.0,180494521.0,286.99,137.07,119.96,112.73,gap,2024-03-15,12,0.704,A,2226541108800,2024-04-16,0.0,2024-03-08,False
2024-04-03,1519,華城,816.0,1007575.0,8.22,683.08,549.47,445.4,surge,2024-04-02,1,0.795,A,257758732800,,17.03,2024-03-08,False
2024-04-03,2382,廣達,293.5,54178226.0,159.01,266.26,247.9,231.86,surge,2024-03-28,4,0.857,A,1133681141900,2024-04-15,-0.68,2024-03-14,False
